Pays,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,Total des abonnements au téléphone cellulaire mobile,Total des abonnements au téléphone cellulaire mobile pour 100 habitants,Total des lignes d'accès téléphoniques,Total des recettes des télécommunications USD,Total des voies d'accès de communication,Total des voies d'accès de communication pour 100 habitants
Allemagne,55047708.571428575,9020297741.428572,111227285.71428572,136.03142857142856,25119928.57142857,76701198026.92857,162218980.7142857,198.4257142857143
Australie,10334153.846153846,5242975114.5,23755769.230769232,105.91076923076922,9281923.076923076,34681085100.25,38711951.692307696,172.82461538461536
Autriche,4384503.642857143,801637741.3571428,12414071.285714285,146.01857142857142,2661393.8571428573,6113317738.214286,17106673.42857143,201.35357142857143
Belgique,5327320.626474456,1685585895.0714285,11779254.857142856,107.17142857142858,3810770.4285714286,9860355434.0,19075223.64285714,173.5207142857143
Canada,4554119.785714285,8320069749.642858,26065127.57142857,75.01285714285714,17307177.42857143,38281509023.57143,54898105.35714286,158.6457142857143
Chili,13451389.714285715,1665102950.357143,19740999.64285714,112.78857142857143,3378518.6428571427,,25173479.92857143,143.96785714285713
Colombie,39670597.586676925,,46892924.78571428,100.22857142857143,7322154.285714285,7823889861.0,57786369.64285714,123.60928571428572
Corée,1885194.857142857,5753634762.428572,52478780.5,104.66,18827041.42857143,46154350081.35714,88964078.85714285,177.70000000000002
Danemark,902951.6428571428,1257031108.0714285,6788216.285927857,121.40071428571427,1338687.0714057144,6851562931.571428,10262928.500190714,183.79999999999998
Espagne,17222951.14285714,6426079518.214286,50168169.71428572,108.84285714285714,19789193.57142857,48226845727.5,80981372.07142857,175.65571428571428
Estonie,528803.4285714285,109681539.21428572,1856488.0,139.85999999999999,314151.28571428574,6762628614.357142,2495349.3571428573,187.975
Finlande,708725.7142857143,770579281.5,8147469.428571428,150.65928571428572,1104644.9285714286,4441909454.888889,10860507.214285715,201.1157142857143
France,15867215.214285715,9353730522.357143,70627872.5,107.92357142857144,19683156.14285714,63199296509.35714,112203879.57142857,171.7607142857143
Grèce,11333913.857142856,1173166053.857143,15735464.785714285,143.555,4570080.857142857,8253743987.285714,22695857.57142857,207.08357142857145
Hongrie,5724724.928571428,711558064.5714285,11446432.42857143,115.24357142857143,1978261.642857143,4282465097.571429,15544676.5,156.445
Irlande,3204545.6714285715,690842428.4615384,5404275.571428572,118.255,1438227.857142857,4719875321.142858,7883091.785714285,172.61285714285714
Islande,155763.2142857143,55325392.78571428,358148.35714285716,110.70928571428571,128586.21428571429,289570189.5714286,598781.0,185.45714285714286
Israël,2500449.88790932,824945181.1428572,9647595.57142857,122.7,2507099.272727273,6278100475.4,13990077.57142857,178.14785714285716
Italie,75585389.53485714,8570607164.785714,93394934.71428572,156.62785714285715,22454110.5,50223527771.92857,128817537.07142857,216.05714285714288
Japon,1296096.9285714286,16200326115.785715,134165489.57142857,105.30071428571429,36464434.14285714,128893044159.28572,204267384.14285713,160.25785714285715
Lettonie,864230.8571428572,101907340.71428572,2625648.285714286,132.84285714285713,352638.14285714284,626187622.4,1903229.5,95.66857142857143
Lituanie,2413299.4285714286,344145318.9285714,4486494.214285715,147.27785714285713,556622.5714285715,2659020403.0,5712246.0,187.70642857142857
Luxembourg,232121.42857142858,133029256.21428572,796707.1428571428,150.07642857142858,259869.2857142857,670107099.9285715,1219571.5,229.69285714285712
Mexique,78710484.64285715,3961261994.1538463,91407227.64285715,78.12,19965153.785714287,28027667188.846153,121596820.85714285,103.99642857142858
Norvège,1282943.0,1097743386.2727273,5453442.071428572,109.52857142857144,1003729.2142857143,5053352296.571428,8222433.214285715,165.41214285714287
Nouvelle-Zélande,3200285.8571428573,1014625851.1428572,5145214.285714285,115.2242857142857,1618328.142857143,3729908820.285714,7928585.071428572,177.94428571428574
OCDE - Total,535186052.42879075,192007009687.57144,1408504212.428785,108.09142857142857,392796586.64283425,1286094297424.2856,2118669158.0716193,162.85857142857142
Pays-Bas,6027635.714285715,3518565553.428571,21682642.85714286,129.41214285714287,3289174.285714286,16644374484.642857,31315851.07142857,187.15571428571428
Pologne,24334630.85714286,2384002529.0,47672355.571428575,124.22785714285715,6966593.714285715,12904262347.0,60295022.428571425,157.14499999999998
Portugal,10092737.285714285,1056389384.5,15745981.857142856,150.6107142857143,2435561.0714285714,8646796227.357143,20597544.285714287,196.9992857142857
Royaume-Uni,38893402.11531103,12911538667.142857,79893248.07142857,125.78928571428571,30777010.285714287,65584739305.07143,131066741.57142857,206.27
République slovaque,2140939.714285714,433688745.21428573,6104217.0,112.69000000000001,788004.0714285715,2313531970.5,7804399.785714285,144.08142857142857
Slovénie,639218.5714285715,284638822.35714287,2175204.9285714286,106.24285714285715,415115.5,1438973252.357143,3059511.714285714,149.52785714285713
Suisse,3833678.0,2884346835.928571,9851706.57142857,123.19000000000001,2933648.3571428573,17278946516.714287,15935845.142857144,199.75357142857143
Suède,4240381.428571428,1515865150.8461537,12759860.92857143,133.4364285714286,3054343.0,6969568819.857142,18914735.714285713,198.4892857142857
Tchéquie,6114639.642857143,745031686.2857143,13599032.214285715,129.80285714285714,1575888.642857143,5860566183.142858,17513003.285714287,167.17642857142854
Türkiye,41136574.0,2779267120.714286,66413694.5,88.50571428571428,14698234.214285715,14455761730.642857,88682822.57142857,118.38
États-Unis,58229971.63636363,81325928571.42857,311615714.28571427,99.24928571428572,102945251.71428572,548066000000.0,501945891.28571427,160.49714285714285
